method,state,mse,rmse,bias,squared_bias,coverage,theta_hat_mean,theta_true,n_state_sample_mean,state_abbr,error_mean
SB,46,5.388552877678459e-4,0.023213256724721885,-0.014419978051114724,2.0793576699463037e-4,1,0.33986276476844635,0.35428274281956107,65,SD,-0.014419978051114724
SB,47,0.0010881463293732274,0.03298706306073985,0.004924762079946759,2.4253281544081532e-5,1,0.3585096375901714,0.35358487551022466,119,TN,0.004924762079946743
SB,48,0.0036189563663460637,0.06015776231165903,-0.006887203717752116,4.743357504981857e-5,0.5,0.40522990562337513,0.4121171093411273,344,TX,-0.006887203717752144
SB,49,0.002279805389836112,0.047747307671073054,0.0383058814234805,0.0014673405516297485,0.9,0.3252420951687477,0.2869362137452672,187,UT,0.038305881423480515
SB,50,0.001587350419285419,0.039841566476299835,-0.035488021093114996,0.001259399641105375,1,0.3517998283165688,0.3872878494096838,104,VT,-0.035488021093114996
SB,51,0.0012496297320575879,0.035350102292038534,0.010430165426041037,1.0878835081458181e-4,0.8,0.3301808815309615,0.31975071610492045,188,VA,0.010430165426041027
SB,53,0.0018499523722197357,0.04301107266995018,0.01220774761008701,1.490291017115851e-4,0.9,0.38599626656045627,0.37378851895036924,252,WA,0.012207747610087027
SB,54,0.0012321892174578968,0.03510255286240442,0.01891261353311586,3.5768695065299715e-4,1,0.32003544236536696,0.3011228288322511,93,WV,0.018912613533115852
SB,55,0.001294555447591612,0.035979931178250074,0.02274491015390618,5.173309379092644e-4,0.9,0.3566060225968346,0.33386111244292843,121,WI,0.022744910153906173
SB,56,6.302128301366908e-4,0.02510404011581982,0.01753733021775166,3.075579511664655e-4,1,0.33349337289715325,0.3159560426794016,76,WY,0.017537330217751668
MRP,01,0.001986755684631141,0.04457303764195504,-0.008942499248882785,7.996829281626919e-5,0.9,0.3565264218443715,0.3654689210932543,98,AL,-0.008942499248882796
MRP,04,0.0011426125905215497,0.03380255301780547,0.019892983308438646,3.9573078490981857e-4,0.9,0.37409043301409206,0.3541974497056534,190,AZ,0.01989298330843864
MRP,05,0.0018953123092355097,0.04353518472724688,0.007984429611001254,6.375111621303364e-5,0.9,0.31960175502147775,0.3116173254104765,88,AR,0.007984429611001265
MRP,06,0.0010692872780909519,0.03269995838056911,-0.013419254072099573,1.8007637985156097e-4,0.7,0.4302204263186021,0.4436396803907017,473,CA,-0.013419254072099596
MRP,08,6.913589353836415e-4,0.026293705242579287,-0.0063233281237715655,3.9984478560880426e-5,1,0.3380384729715087,0.34436180109528025,175,CO,-0.0063233281237715655
MRP,09,0.0027147099813124935,0.0521028788198166,0.0020915438241628837,4.3745555683939e-6,0.8,0.40819764263067887,0.406106098806516,103,CT,0.002091543824162878
MRP,10,5.6971280037681e-4,0.023868657280559584,-0.0045973368265362306,2.113550589662622e-5,1,0.35754209395863495,0.3621394307851712,125,DE,-0.004597336826536236
MRP,11,0.003886009808570937,0.06233786817473739,0.05816959523892188,0.003383701810260003,1,0.38539600234171567,0.32722640710279377,115,DC,0.0581695952389219
MRP,12,0.0013926044618850033,0.0373176159726878,-0.014471009284652836,2.0941010971650857e-4,0.6,0.3968550490671901,0.41132605835184294,263,FL,-0.014471009284652836
MRP,13,0.0031753133637059425,0.056349918932558744,0.02576618780988916,6.638964342544807e-4,0.6,0.42987868502101934,0.4041124972111302,176,GA,0.02576618780988915
MRP,16,0.002390503313622797,0.04889277363397169,0.044049425222075535,0.0019403518623952243,0.9,0.31891360731387236,0.2748641820917968,148,ID,0.044049425222075556
MRP,17,0.0037501170801618987,0.06123819951763686,0.01204971217946647,1.4519556360798259e-4,0.4,0.3870881076701561,0.3750383954906896,155,IL,0.012049712179466487
MRP,18,0.0016689323081690865,0.04085256795073091,-0.0138667250288951,1.922860630269858e-4,1,0.35725969610460917,0.37112642113350425,115,IN,-0.013866725028895077
MRP,19,0.001750000507695417,0.041833007394824206,0.03456194280474484,0.0011945278904384536,0.9,0.321124142878708,0.28656220007396316,114,IA,0.03456194280474484
MRP,20,0.0022633270386983226,0.047574436819560174,0.029804268191196977,8.882944024127959e-4,0.8,0.31836081660584636,0.2885565484146494,103,KS,0.02980426819119697
MRP,21,0.0014286147318675613,0.03779702014534428,-0.008362736612960114,6.99353636577436e-5,1,0.3739503714089812,0.3823131080219413,113,KY,-0.008362736612960109
MRP,22,0.0015565033746918438,0.03945254585818061,-0.02918237967153594,8.516112832936741e-4,0.9,0.4039235325428187,0.4331059122143546,86,LA,-0.02918237967153592
MRP,23,0.0013161005769435576,0.03627810051454675,-0.019953653515330565,3.981482886098638e-4,1,0.31524469185704657,0.33519834537237714,114,ME,-0.01995365351533057
MRP,24,0.0021206047885674053,0.04605002484871648,-0.003629143524226719,1.3170682719436729e-5,0.9,0.39448787977153416,0.3981170232957609,162,MD,-0.003629143524226719
MRP,25,8.845922255447267e-4,0.029742095177453902,-0.021000441793352344,4.410185555159798e-4,1,0.40424925954204294,0.4252497013353953,186,MA,-0.021000441793352365
MRP,26,0.001285698206604825,0.035856634066861674,-0.009987218279329435,9.974452895897201e-5,0.8,0.421853958861506,0.4318411771408354,195,MI,-0.009987218279329413
